image,candidate_image,matched,score,keyword,matched_text,text_count
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00086_ad43f6077b3f.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00086_ad43f6077b3f.webp,True,72.21,softcare,Softcane,24
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_b2cf36ceb80e.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_b2cf36ceb80e.webp,True,70.29,softcare,Saftcae,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_d6aadfe136de.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_d6aadfe136de.webp,True,75.83,softcare,sof,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_b44df0e8ae25.webp,,False,59.19,softcare,s,48
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_bb722223d8ac.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_bb722223d8ac.webp,True,75.29,softcare,Saftcare,48
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_dad7b28796c4.webp,,False,53.95,softcare,AREELOGISTICS,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00089_345b80b481e9.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00089_345b80b481e9.webp,True,65.89,softcare,SOFT&SMOOTH,19
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00090_2d3952ac8132.webp,,False,35.14,softcare,B.Debby Mart,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_ae49ba769e40.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_ae49ba769e40.webp,True,70.78,softcare,tcaie,16
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_b15f1f8d8b20.webp,,False,49.31,softcare,Madar,17
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_d8aa4f5d40bd.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_d8aa4f5d40bd.webp,True,65.01,softcare,Kleesoft,36
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00092_7504413b4d05.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00092_7504413b4d05.webp,True,80.43,softcare,e,19
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00093_0dca99512f42.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00093_0dca99512f42.webp,True,64.64,softcare,TREE,10
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00094_2c1820e972a6.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00094_2c1820e972a6.webp,True,85.99,softcare,SO,23
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00095_6efa79632c95.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00095_6efa79632c95.webp,True,65.04,softcare,S/M,29
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00096_ca08b57b7765.webp,,False,41.12,softcare,saa,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00097_d3dd8d2a9b9c.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00097_d3dd8d2a9b9c.webp,True,64.47,softcare,HAJIATULASI MOTHERCARE,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00098_122dc59eb019.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00098_122dc59eb019.webp,True,72.53,softcare,tcaie,37
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00098_7dacff2403d9.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00098_7dacff2403d9.webp,True,65.63,softcare,Kleesoft,13
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00099_7ae88d5e5d02.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00099_7ae88d5e5d02.webp,True,68.1,softcare,"Seftcare""",34
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00100_101718ad5244.webp,,False,50.05,softcare,Pesof,28
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00101_ab7701af7b10.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00101_ab7701af7b10.webp,True,87.49,softcare,Softcare,63
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00102_914cdb384b9b.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00102_914cdb384b9b.webp,True,64.53,softcare,SOAP,56
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00103_6fd618396455.webp,,False,50.91,softcare,SHEU'S MOTHER,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00104_13311b9c4840.webp,,False,52.9,softcare,SISTERENOENTERPRISE,4
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00104_64710e51079c.webp,,False,51.14,softcare,SISTER ENO ENTERPRISE,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00105_b4ea3e310313.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00105_b4ea3e310313.webp,True,80.22,softcare,S,29
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00106_5b7d22ffcfcb.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00106_5b7d22ffcfcb.webp,True,70.37,softcare,eesoft,11
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00107_2c8f9fc47e32.webp,,False,42.16,softcare,Madar,9
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00108_1feae8fda9f6.webp,,False,53.54,softcare,SIS JOYCE,4
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00109_94ba67f2a7c5.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00109_94ba67f2a7c5.webp,True,68.44,softcare,Keesoft,12
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00110_46b70c8867c8.webp,,False,35.84,softcare,MAGMITCH,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00111_03c7d1595724.webp,,False,48.09,softcare,DORISTINA EVENT,7
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00112_1c8d8d146807.webp,,False,44.52,softcare,top class,6
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00113_368c06f0cf68.webp,,False,49.37,softcare,NEW,10
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00114_76921306fe53.webp,,False,28.13,softcare,MAWUSI,5
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00115_ca963452b615.webp,,False,44.83,softcare,JF-LANINANK VENTURES,8
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00116_8dcd08d6a702.webp,,False,50.26,softcare,FREE,16
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00117_4850c8c93d9d.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00117_4850c8c93d9d.webp,True,64.56,softcare,SOFT&SMOOTH,14
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00118_cd4e19360a9b.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00118_cd4e19360a9b.webp,True,64.53,softcare,Kleesoft,23
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00119_65ae0da10970.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00119_65ae0da10970.webp,True,74.19,softcare,Softcare,18
/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00120_c3374072823e.webp,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00120_c3374072823e.webp,True,65.51,softcare,SA,10
