row_number,url,status,path,error
65,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/b56df9fad5b926d80ea5da3848967757.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00065_1981f64cf344.webp,
66,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/67ee8731bb01f022fdb9949f88f00a7e.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00066_1b84f1812b4c.webp,
67,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/e309d168c535ef7450040f9b64bfdf41.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00067_6b52c8790648.webp,
68,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/b31d99d76afc0b3485c6b1254afa61ed.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00068_af0010cdb230.webp,
69,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/b8aaddf538144fc6916edecf272c80f1.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00069_592ff0848ca1.webp,
70,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/463acfe8e30b3ad18db36717cd91ad7f.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00070_4c8b1e2d175f.webp,
71,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/871e65ba0354c70313d3812cc7d01362.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00071_98d6763b9dc6.webp,
72,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3fe57a83b0a26b358613affbfa34e9e3.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00072_79db58ab0afd.webp,
73,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/e697a4e9d64a3e09475495ecf678e005.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00073_3a175dadabf8.webp,
74,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/b0f986a54fd69cba71b40f2b8762db6b.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00074_18b3b453dcca.webp,
75,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/c30734591037a0830a3044144fc27e25.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00075_76677b4c55ca.webp,
76,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/7b6b79857f0bd5d735ff021585202eed.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00076_42fc816470b2.webp,
77,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/73273dcffd73fbbb3053fe35ef58954d.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00077_20155275b59a.webp,
78,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/008d1bfaf634f978d3d847315f2991df.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00078_6b1a31a6c36a.webp,
79,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9c424f46d5ff3287837a78bf2e0aaa18.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00079_533cc72f7ef0.webp,
80,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/8026ce5dffd47bd16293f2c1c0a894dd.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00080_f9f1cef54cf0.webp,
81,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/d73f5bee6a802dae4179fe6c4d5b4eb5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00081_8086b115a420.webp,
82,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/34e019bc636055a71cbafb571c64eb6a.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00082_f7792d92a796.webp,
82,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/75b820c4f2ba6d8ef8ab4feeb2b5d024.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00082_4d56dfe67a7f.webp,
83,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/d8e28a3404fe592fb52e334e55ecfd59.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00083_cdf80b1e3c53.webp,
84,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/fc7da7f167e08545f565b95cc5fc22a7.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00084_cff8248b75b1.webp,
85,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/35f2c62bb6b915d3807b91eee534693d.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00085_6c579ab94b0b.webp,
86,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9695778635f1cd63d71cdbe6e539001a.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00086_199f845f4ebe.webp,
86,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/ed1c9548a739fe132cd865339b7e0be5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00086_ad43f6077b3f.webp,
87,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/62cdc5070f7c042235113822b989e55a.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_b2cf36ceb80e.webp,
87,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/e287bc4062f3a4777f310360683c489d.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00087_d6aadfe136de.webp,
88,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/42a5b6db5a0d539e2d893e72d01e77f3.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_b44df0e8ae25.webp,
88,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/72177c3a4af9cb3cdb01186983bf5f75.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_bb722223d8ac.webp,
88,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/ff6d22e055ddd3a5a93ebc2ae5e4e169.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00088_dad7b28796c4.webp,
89,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/34e0e289894eb3cb2ef22d4b347f046b.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00089_345b80b481e9.webp,
